Addr: 0006ce32, Data ffee
Addr: 0006ce33, Data fff0
Addr: 0006ce34, Data 0000
Addr: 0006ce35, Data 0000
Addr: 0006ce36, Data 0000
Addr: 0006ce37, Data 0000
Addr: 0006ce38, Data fff0
Addr: 0006ce39, Data fff0
Addr: 0006ce3a, Data fff0
Addr: 0006ce3b, Data fff2
Addr: 0006ce3c, Data fffc
Addr: 0006ce3d, Data ffc1
Addr: 0006ce3e, Data ffb6
Addr: 0006ce3f, Data ffac
Addr: 0006ce40, Data ffbe
Addr: 0006ce41, Data ffee
Addr: 0006ce42, Data fff0
Addr: 0006ce43, Data fff0
Addr: 0006ce44, Data 0000
Addr: 0006ce45, Data 0000
Addr: 0006ce46, Data 0000
Addr: 0006ce47, Data 0000
Addr: 0006ce48, Data ffed
Addr: 0006ce49, Data ffed
Addr: 0006ce4a, Data ffed
Addr: 0006ce4b, Data ffed
Addr: 0006ce4c, Data ffed
Addr: 0006ce4d, Data ffed
Addr: 0006ce4e, Data ffed
Addr: 0006ce4f, Data ffed
Addr: 0006ce50, Data ffed
Addr: 0006ce51, Data ffff
Addr: 0006ce52, Data ffee
Addr: 0006ce53, Data ffed
Addr: 0006ce54, Data 0000
Addr: 0006ce55, Data 0000
Addr: 0006ce56, Data 0000
Addr: 0006ce57, Data 0000
Addr: 0006ce58, Data ffed
Addr: 0006ce59, Data ffed
Addr: 0006ce5a, Data ffed
Addr: 0006ce5b, Data ffed
Addr: 0006ce5c, Data ffef
Addr: 0006ce5d, Data ffec
Addr: 0006ce5e, Data ffc0
